BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460302.670170,1.00007,0.00160,1.4872,0.22,-0.37,14.14,126536
2460302.670483,1.00344,0.00160,1.4845,0.22,-0.12,14.02,134434
2460302.670796,0.99979,0.00159,1.4817,-0.07,-0.23,14.27,117344
2460302.671109,1.00062,0.00159,1.4791,0.26,-0.32,14.12,126312
2460302.671422,1.00401,0.00159,1.4764,0.06,0.04,13.99,128680
2460302.671735,0.99897,0.00157,1.4737,-0.34,-0.10,14.25,117133
2460302.672048,1.00197,0.00157,1.4710,0.07,0.07,14.24,121445
2460302.672361,1.00146,0.00157,1.4684,-0.31,0.04,14.29,115402
2460302.672674,1.00129,0.00156,1.4657,-0.05,-0.15,14.50,116310
2460302.672975,1.00003,0.00156,1.4631,-0.08,0.12,14.34,116882
2460302.673288,1.00040,0.00155,1.4605,0.22,-0.20,14.22,127304
2460302.673601,0.99837,0.00154,1.4579,-0.20,0.06,14.22,121741
2460302.673914,1.00111,0.00154,1.4554,-0.14,0.09,14.37,122604
2460302.674227,0.99989,0.00154,1.4528,-0.32,-0.10,14.51,115335
2460302.674540,1.00194,0.00154,1.4502,-0.08,0.06,14.07,116448
2460302.674853,0.99957,0.00153,1.4477,0.03,0.13,14.33,123090
2460302.675166,0.99608,0.00152,1.4451,0.08,0.05,14.48,121593
2460302.675479,0.99902,0.00152,1.4426,0.04,0.03,14.14,142749
2460302.675792,1.00109,0.00152,1.4402,-0.16,0.18,14.54,120216
2460302.676105,1.00141,0.00152,1.4377,0.27,0.07,14.39,111230
2460302.676430,0.99934,0.00151,1.4351,0.18,-1.35,13.73,122100
2460302.676743,1.00335,0.00151,1.4326,-0.32,-0.39,14.43,115680
2460302.677056,1.00161,0.00150,1.4302,0.14,-0.20,14.40,117319
2460302.677381,0.99916,0.00150,1.4277,-0.19,-0.14,14.41,115248
2460302.677694,0.99993,0.00149,1.4253,0.07,-0.08,14.62,111462
2460302.678007,0.99657,0.00148,1.4229,-0.38,-0.22,14.79,112643
2460302.678320,0.99939,0.00148,1.4204,-0.07,0.01,14.54,115348
2460302.678633,1.00158,0.00148,1.4181,-0.20,-0.17,14.41,116875
2460302.678946,0.99891,0.00147,1.4157,0.07,0.12,14.62,110881
2460302.679259,0.99780,0.00147,1.4134,0.14,0.03,14.37,113580
2460302.679561,0.99990,0.00147,1.4110,0.30,0.16,14.33,115888
2460302.679885,0.99954,0.00146,1.4087,0.07,0.10,14.50,121778
2460302.680210,1.00072,0.00146,1.4062,-0.13,0.22,15.02,103419
