BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460366.763531,0.99803,0.00159,1.4431,-0.46,-0.08,12.13,137720
2460366.763821,1.00131,0.00158,1.4439,-0.46,0.09,12.11,154005
2460366.764122,1.00221,0.00157,1.4447,-0.27,-0.04,11.99,163828
2460366.764412,0.99804,0.00157,1.4455,-0.19,0.07,11.79,175571
2460366.764713,0.99789,0.00157,1.4464,-0.27,0.21,12.14,168011
2460366.765003,0.99923,0.00157,1.4472,-0.45,0.12,11.74,180578
2460366.765305,0.99747,0.00157,1.4481,-0.25,0.11,12.03,176351
2460366.765594,0.99861,0.00158,1.4489,-0.10,0.09,12.08,164138
2460366.765884,0.99680,0.00158,1.4498,-0.58,0.17,12.09,148893
2460366.766186,0.99902,0.00158,1.4506,-0.50,-0.01,12.13,158585
2460366.766487,0.99906,0.00157,1.4515,-0.32,0.19,12.07,176159
2460366.766777,0.99939,0.00156,1.4524,-0.28,0.07,12.05,192966
2460366.767078,1.00122,0.00157,1.4533,-0.74,0.05,11.71,193614
2460366.767368,1.00087,0.00157,1.4542,-0.29,0.27,11.91,179574
2460366.767669,1.00007,0.00157,1.4551,-0.36,-0.09,12.14,173402
2460366.767959,0.99978,0.00157,1.4560,-0.36,-0.09,12.04,190865
2460366.768260,1.00179,0.00158,1.4569,-0.50,-0.01,12.09,179370
2460366.768550,1.00026,0.00157,1.4579,-0.57,-0.03,11.87,183794
2460366.768852,1.00137,0.00158,1.4588,-0.31,0.09,12.04,174065
2460366.769141,1.00033,0.00157,1.4597,-0.20,-0.28,12.00,183379
2460366.769443,0.99888,0.00157,1.4607,-0.80,0.04,11.69,188936
2460366.769733,0.99685,0.00157,1.4616,-0.31,0.07,12.10,186446
2460366.770034,0.99967,0.00157,1.4626,-0.47,-0.13,12.01,190939
2460366.770324,0.99967,0.00158,1.4636,-0.57,0.17,12.11,191156
2460366.770625,1.00231,0.00158,1.4645,-0.42,0.14,11.86,183521
2460366.770915,0.99835,0.00158,1.4655,-0.28,0.13,11.54,203153
2460366.771274,0.99941,0.00159,1.4667,-0.72,0.13,11.75,179101
2460366.771564,0.99922,0.00159,1.4677,-0.41,-0.21,11.98,172479
2460366.771865,1.00234,0.00161,1.4687,-0.49,0.11,11.92,164281
2460366.772155,0.99632,0.00162,1.4697,-0.45,-0.17,11.88,145070
2460366.772457,0.99890,0.00161,1.4707,-0.42,0.29,11.92,162563
2460366.772746,1.00000,0.00160,1.4718,-0.14,-0.14,11.69,188647
2460366.773048,0.99729,0.00160,1.4728,-0.22,-0.10,11.88,187283
2460366.773337,0.99975,0.00160,1.4738,-0.40,0.09,12.03,186551
2460366.773639,1.00202,0.00161,1.4749,-0.36,0.06,12.06,187462
2460366.773929,1.00004,0.00161,1.4759,-0.45,-0.00,11.97,183261
2460366.774218,1.00028,0.00161,1.4770,-0.46,0.15,11.98,187084
2460366.774520,1.00192,0.00161,1.4781,-0.49,0.11,12.08,163382
2460366.774810,1.00457,0.00162,1.4791,-0.52,-0.13,12.05,182709
2460366.775111,1.00047,0.00161,1.4802,-0.25,0.11,11.61,198673
2460366.775401,0.99945,0.00161,1.4813,-0.29,0.14,11.95,191001
2460366.775690,0.99924,0.00161,1.4824,-0.93,-0.03,11.97,184628
2460366.775992,1.00111,0.00162,1.4835,-0.69,0.24,11.92,178577
2460366.776293,1.00032,0.00162,1.4847,-0.42,-0.18,11.82,201195
2460366.776583,0.99945,0.00162,1.4858,-0.46,-0.04,12.24,174530
2460366.776884,1.00121,0.00163,1.4869,-0.55,0.10,11.95,176569
2460366.777174,0.99968,0.00163,1.4880,-0.56,-0.11,12.01,168203
2460366.777476,1.00236,0.00164,1.4892,-0.50,0.18,11.72,181278
2460366.777765,0.99935,0.00163,1.4903,-0.67,0.22,12.17,164558
2460366.778067,1.00019,0.00164,1.4915,-0.60,0.12,12.09,164366
2460366.778357,1.00190,0.00165,1.4927,-0.38,0.12,11.82,173302
2460366.778658,1.00287,0.00166,1.4938,-0.53,0.26,12.03,158672
2460366.778959,1.00368,0.00167,1.4951,-0.44,-0.07,12.05,145349
2460366.779261,1.00351,0.00168,1.4963,-0.28,0.17,12.00,159992
2460366.779550,1.00345,0.00173,1.4975,-0.73,0.21,11.94,123708
2460366.779863,1.00074,0.00169,1.4988,-0.71,0.48,11.84,143634
2460366.780153,1.00134,0.00168,1.5000,-0.47,0.12,12.26,150620
2460366.780455,1.00297,0.00169,1.5012,-0.63,0.15,11.93,163294
2460366.780756,1.00561,0.00170,1.5025,-0.26,-0.25,11.86,144294
2460366.781046,1.00027,0.00171,1.5037,-0.84,-0.01,11.63,138172
2460366.781347,0.99832,0.00175,1.5050,-0.73,0.10,11.73,113675
2460366.781649,1.00368,0.00173,1.5062,-0.94,0.15,11.88,128335
2460366.781938,1.00071,0.00171,1.5075,-0.90,0.29,12.05,145824
2460366.782228,0.99950,0.00170,1.5088,-0.81,-0.02,11.72,143098
2460366.782530,1.00139,0.00170,1.5101,-0.45,0.14,11.92,150770
2460366.782831,1.00100,0.00171,1.5114,-0.26,0.06,11.80,154687
2460366.783121,1.00001,0.00174,1.5127,-0.73,-0.12,12.09,122834
2460366.783422,1.00094,0.00175,1.5140,-1.07,-0.19,11.83,125462
2460366.783712,1.00026,0.00175,1.5153,-0.90,0.02,11.58,143132
2460366.784013,0.99456,0.00173,1.5167,-0.70,-0.04,11.94,127296
2460366.784303,1.00409,0.00175,1.5180,-0.86,0.03,12.20,121899
2460366.784604,1.00052,0.00175,1.5193,-0.82,-0.27,11.79,133834
2460366.784894,1.00056,0.00176,1.5207,-0.57,-0.03,11.95,141487
2460366.785196,1.00087,0.00176,1.5220,-0.61,-0.15,11.83,140830
2460366.785485,1.00056,0.00175,1.5234,-0.94,0.24,11.93,123225
2460366.785856,0.99639,0.00175,1.5251,-0.94,-0.18,11.70,122783
2460366.786158,0.99975,0.00176,1.5265,-0.35,0.15,12.04,137676
2460366.786448,1.00312,0.00178,1.5279,-0.47,0.05,12.09,127333
2460366.786749,1.00089,0.00178,1.5293,-0.73,-0.04,11.84,121297
2460366.787039,0.99726,0.00178,1.5307,-0.49,-0.40,12.04,121831
2460366.787340,1.00138,0.00178,1.5322,-0.91,0.04,12.00,137797
2460366.787630,0.99739,0.00176,1.5336,-0.88,-0.00,12.06,136794
2460366.787931,1.00120,0.00176,1.5351,-0.38,-0.18,12.34,137150
2460366.788221,1.00309,0.00175,1.5365,-0.71,0.03,12.01,149853
2460366.788522,1.00618,0.00175,1.5380,-0.36,-0.27,11.91,166248
2460366.788812,1.00019,0.00174,1.5394,-0.73,-0.04,11.89,159136
2460366.789114,1.00112,0.00174,1.5409,-0.44,0.05,12.04,178433
2460366.789403,1.00009,0.00174,1.5424,-0.71,0.03,12.19,151309
2460366.789705,1.00053,0.00175,1.5439,-0.75,0.09,11.90,170259
2460366.789995,1.00273,0.00177,1.5454,-0.59,0.00,12.12,142652
2460366.790296,0.99789,0.00178,1.5470,-0.71,0.27,11.89,139529
2460366.790586,0.99877,0.00178,1.5485,-0.96,-0.07,12.34,133021
2460366.790887,0.99965,0.00177,1.5500,-0.58,-0.17,11.91,146240
2460366.791176,0.99856,0.00177,1.5516,-0.89,0.04,12.16,143296
2460366.791477,1.00001,0.00178,1.5531,-0.37,-0.08,12.00,148717
2460366.791767,1.00424,0.00179,1.5547,-0.94,-0.03,11.63,148410
2460366.792068,1.00298,0.00180,1.5562,-1.21,-0.07,12.11,122762
2460366.792370,0.99974,0.00180,1.5578,-1.11,0.32,11.94,136954
2460366.792660,1.00551,0.00182,1.5594,-0.90,-0.18,11.91,143440
2460366.792949,1.00262,0.00181,1.5610,-1.16,-0.31,11.96,136788
2460366.793251,0.99915,0.00181,1.5627,-1.55,-0.34,11.85,139802
2460366.793541,1.00169,0.00183,1.5642,-0.72,0.14,12.07,132978
2460366.793842,1.00130,0.00182,1.5659,-0.91,-0.28,12.02,141694
2460366.794132,1.00226,0.00182,1.5675,-1.16,-0.14,12.17,127715
2460366.794433,0.99911,0.00181,1.5692,-0.90,-0.26,12.10,144176
2460366.794734,0.99676,0.00181,1.5709,-0.48,0.25,12.38,131961
2460366.795024,1.00097,0.00182,1.5725,-0.99,0.05,12.17,127643
2460366.795326,1.00228,0.00182,1.5742,-0.96,0.17,11.93,130782
2460366.795615,0.99739,0.00182,1.5759,-1.08,-0.47,12.23,126558
2460366.795917,1.00473,0.00184,1.5776,-1.17,-0.16,12.13,123674
2460366.796206,1.00275,0.00184,1.5794,-1.37,0.09,12.09,131608
2460366.796508,0.99956,0.00185,1.5811,-0.87,0.27,12.26,122805
2460366.796798,0.99997,0.00186,1.5828,-1.39,-0.04,12.22,118408
2460366.797099,1.00333,0.00192,1.5845,-1.69,0.26,12.19,100856
2460366.797389,1.00257,0.00200,1.5863,-1.24,-0.46,11.96,100689
2460366.797690,1.00872,0.00209,1.5880,-0.74,-0.18,12.22,74282
2460366.797992,1.00208,0.00212,1.5898,-1.27,0.11,12.17,72442
2460366.798328,1.00530,0.00220,1.5919,0.09,-0.24,12.18,57823
2460366.798629,0.99954,0.00226,1.5937,-1.40,0.23,12.16,68903
2460366.798919,0.99966,0.00216,1.5955,-1.08,-0.00,12.45,68792
2460366.799220,1.00516,0.00218,1.5973,-0.86,-0.07,12.12,73584
2460366.799510,1.00365,0.00213,1.5992,-0.65,0.29,12.13,78569
2460366.799812,1.00477,0.00216,1.6010,-1.54,-0.15,12.16,79758
2460366.800113,1.00555,0.00227,1.6029,-1.84,0.35,12.26,70759
2460366.800403,1.00358,0.00218,1.6048,-0.80,0.24,12.46,79603
2460366.800704,1.00716,0.00212,1.6066,-1.33,0.10,12.23,77128
2460366.800994,1.00168,0.00203,1.6085,-0.42,0.00,11.76,94130
2460366.801295,1.00330,0.00196,1.6104,-0.09,0.26,12.11,118915
2460366.801585,1.00088,0.00192,1.6123,-0.43,0.04,12.00,127519
2460366.801886,0.99735,0.00193,1.6142,-0.91,0.06,12.32,114527
2460366.802188,0.99912,0.00193,1.6162,-1.12,0.21,12.02,122577
2460366.802478,1.00170,0.00198,1.6181,-1.36,-0.02,12.12,113029
2460366.802767,1.00155,0.00198,1.6200,-1.18,-0.49,11.93,116866
2460366.803069,0.99805,0.00197,1.6220,-1.46,0.06,11.82,118364
2460366.803370,1.00237,0.00200,1.6240,-1.11,-0.15,12.01,112924
2460366.803660,1.00504,0.00205,1.6260,-0.87,-0.11,12.11,102505
2460366.803961,1.00310,0.00209,1.6280,-1.17,0.14,11.85,99556
2460366.804251,0.99927,0.00206,1.6300,-2.08,0.17,11.80,106630
2460366.804552,0.99625,0.00209,1.6320,-1.45,-0.04,11.68,95702
2460366.804842,1.00495,0.00206,1.6340,-0.89,0.29,11.98,103926
